targets, factors
Lte1L_Cytoplasm, PolarityA_Cytoplasm | PolarityOE 
Mob1L_Cytoplasm, Mob1L_Cytoplasm 
Elm1L_Cytoplasm, Elm1L_Cytoplasm 
Dbf2L_Cytoplasm, Dbf2L_Cytoplasm 
Kin4L_Cytoplasm, ! PolarityA_Cytoplasm 
Cla4L_Cytoplasm, Cla4L_Cytoplasm 
Nud1L_Cytoplasm, Nud1L_Cytoplasm 
Spc72L_Cytoplasm, Spc72L_Cytoplasm 
PP2ARts1L_Cytoplasm, PP2ARts1L_Cytoplasm 
Amn1L_Cytoplasm, Amn1L_Cytoplasm 
Bmh1L_Cytoplasm, Bmh1L_Cytoplasm 
PolarityL_Cytoplasm, PolarityL_Cytoplasm 
Bfa1highL_Cytoplasm, Bfa1highL_Cytoplasm 
Bfa1lowL_Cytoplasm, Bfa1lowL_Cytoplasm 
Tem1lowL_Cytoplasm, Tem1lowL_Cytoplasm 
Tem1highL_Cytoplasm, Tem1highL_Cytoplasm 
Cdc15lowL_Cytoplasm, Cdc15lowL_Cytoplasm 
Cdc15highL_Cytoplasm, Cdc15highL_Cytoplasm 
Bub2lowL_Cytoplasm, Bub2lowL_Cytoplasm 
Bub2highL_Cytoplasm, Bub2highL_Cytoplasm 
Rsa1L_Cytoplasm, Rsa1L_Cytoplasm 
Hit1L_Cytoplasm, Hit1L_Cytoplasm 
APCCdc20L_Cytoplasm, APCCdc20A_Nucleus 
Pds1L_Cytoplasm, Pds1L_Cytoplasm 
Esp1L_Cytoplasm, Esp1L_Cytoplasm 
Slk19L_Cytoplasm, Slk19L_Cytoplasm 
Zds1L_Cytoplasm, Zds1L_Cytoplasm 
Cdc5L_Cytoplasm, Cdc5L_Cytoplasm 
PP2ACdc55L_Cytoplasm, PP2ACdc55L_Cytoplasm 
CDKlowL_Cytoplasm, (CDKlowL_Cytoplasm & ! APCCdc20OE) 
CDKhighL_Cytoplasm, ! APCCdc20A_Cytoplasm | (CDKOE & CDKhighL_Cytoplasm) 
Fob1L_Cytoplasm, Fob1L_Cytoplasm 
Spo12L_Cytoplasm, Spo12L_Cytoplasm 
SACL_Cytoplasm, SACL_Cytoplasm 
Cdc14lowL_Cytoplasm, Cdc14highL_Nucleus 
Cdc14highL_Cytoplasm, (Cdc14highL_Nucleus & Mob1L_Nucleus & Dbf2A_Nucleus & Cdc14lowL_Cytoplasm) | (Mob1OE & Cdc14highL_Nucleus & Mob1L_Nucleus & Cdc14lowL_Cytoplasm) | (Dbf2OE & Cdc14highL_Nucleus & Mob1L_Nucleus & Cdc14lowL_Cytoplasm) 
Net1L_Cytoplasm, Net1L_Cytoplasm 
Lte1L_Bud, PolarityA_Bud | PolarityOE 
Mob1L_Bud, Mob1L_Bud 
Elm1L_Bud, Elm1L_Bud 
Dbf2L_Bud, Dbf2L_Bud 
Kin4L_Bud, ! PolarityA_Bud 
Cla4L_Bud, Cla4L_Bud 
Nud1L_Bud, Nud1L_Bud 
Spc72L_Bud, Spc72L_Bud 
PP2ARts1L_Bud, PP2ARts1L_Bud 
Amn1L_Bud, Amn1L_Bud 
Bmh1L_Bud, Bmh1L_Bud 
PolarityL_Bud, PolarityL_Bud 
Bfa1highL_Bud, Bfa1highL_Bud 
Bfa1lowL_Bud, Bfa1lowL_Bud 
Tem1lowL_Bud, Tem1lowL_Bud 
Tem1highL_Bud, Tem1highL_Bud 
Cdc15lowL_Bud, Cdc15lowL_Bud 
Cdc15highL_Bud, Cdc15highL_Bud 
Bub2lowL_Bud, Bub2lowL_Bud 
Bub2highL_Bud, Bub2highL_Bud 
Rsa1L_Bud, Rsa1L_Bud 
Hit1L_Bud, Hit1L_Bud 
APCCdc20L_Bud, APCCdc20A_Nucleus 
Pds1L_Bud, Pds1L_Bud 
Esp1L_Bud, Esp1L_Bud 
Slk19L_Bud, Slk19L_Bud 
Zds1L_Bud, Zds1L_Bud 
Cdc5L_Bud, Cdc5L_Bud 
PP2ACdc55L_Bud, PP2ACdc55L_Bud 
CDKlowL_Bud, (CDKlowL_Bud & ! APCCdc20OE) 
CDKhighL_Bud, ! APCCdc20A_Bud | (CDKOE & CDKhighL_Bud) 
Fob1L_Bud, Fob1L_Bud 
Spo12L_Bud, Spo12L_Bud 
SACL_Bud, SACL_Bud 
Cdc14lowL_Bud, Cdc14highL_Nucleus 
Cdc14highL_Bud, (Cdc14highL_Nucleus & Mob1L_Nucleus & Dbf2A_Nucleus & Cdc14lowL_Bud) | (Mob1OE & Cdc14highL_Nucleus & Mob1L_Nucleus & Cdc14lowL_Bud) | (Dbf2OE & Cdc14highL_Nucleus & Mob1L_Nucleus & Cdc14lowL_Bud) 
Net1L_Bud, Net1L_Bud 
Lte1L_Nucleus, Lte1L_Nucleus 
Mob1L_Nucleus, Mob1L_Nucleus 
Elm1L_Nucleus, Elm1L_Nucleus 
Dbf2L_Nucleus, Dbf2L_Nucleus 
Kin4L_Nucleus, Kin4L_Nucleus 
Cla4L_Nucleus, Cla4L_Nucleus 
Nud1L_Nucleus, Nud1L_Nucleus 
Spc72L_Nucleus, Spc72L_Nucleus 
PP2ARts1L_Nucleus, PP2ARts1L_Nucleus 
Amn1L_Nucleus, Amn1L_Nucleus 
Bmh1L_Nucleus, Bmh1L_Nucleus 
PolarityL_Nucleus, PolarityL_Nucleus 
Bfa1highL_Nucleus, Bfa1highL_Nucleus 
Bfa1lowL_Nucleus, Bfa1lowL_Nucleus 
Tem1lowL_Nucleus, Tem1lowL_Nucleus 
Tem1highL_Nucleus, Tem1highL_Nucleus 
Cdc15lowL_Nucleus, Cdc15lowL_Nucleus 
Cdc15highL_Nucleus, Cdc15highL_Nucleus 
Bub2lowL_Nucleus, Bub2lowL_Nucleus 
Bub2highL_Nucleus, Bub2highL_Nucleus 
Rsa1L_Nucleus, Rsa1L_Nucleus 
Hit1L_Nucleus, Hit1L_Nucleus 
APCCdc20L_Nucleus, ! SACA_Nucleus 
Pds1L_Nucleus, ! APCCdc20A_Nucleus 
Esp1L_Nucleus, Esp1L_Nucleus 
Slk19L_Nucleus, Slk19L_Nucleus 
Zds1L_Nucleus, Zds1L_Nucleus 
Cdc5L_Nucleus, Cdc5L_Nucleus 
PP2ACdc55L_Nucleus, (! Zds1A_Nucleus & ! Zds1OE & ! Slk19OE) | (! Slk19A_Nucleus & ! Zds1OE & ! Slk19OE) 
CDKlowL_Nucleus, (CDKlowL_Nucleus & ! APCCdc20OE) 
CDKhighL_Nucleus, ! APCCdc20A_Nucleus | (CDKOE & CDKhighL_Nucleus) 
